Policy_Year,Attained_Age,qx,px,tpx,v_premium,v_benefit,EPV_Benefit_Base,EPV_Premium_Base
1,35,0.00021,0.99979,1.0,1.0,0.9759000729485332,0.00020493901531919197,1.0
2,36,0.00029,0.99971,0.99979,0.9523809523809523,0.9294286409033649,0.00026947770365774476,0.9521809523809522
3,37,0.00042,0.99958,0.9995000609,0.9070294784580498,0.8851701341936807,0.000371585593274047,0.906576018956916
4,38,0.00049,0.99951,0.999080270874422,0.8638375985314759,0.8430191754225531,0.0004126994748054131,0.8630431019323371
5,39,0.00057,0.99943,0.9985907215416935,0.8227024747918819,0.8028754051643362,0.00045699404018614636,0.8215430579165622
6,40,0.00064,0.99936,0.9980215248304147,0.7835261664684589,0.7646432430136535,0.0004884034658200064,0.7819759794033807
7,41,0.00073,0.99927,0.9973827910545233,0.7462153966366274,0.7282316600130033,0.0005302177796865677,0.7442623950252976
8,42,0.00087,0.99913,0.9966547016170535,0.7106813301301212,0.6935539619171459,0.0006013734207637768,0.7083038890256467
9,43,0.00099,0.99901,0.9957876120266467,0.6768393620286869,0.6605275827782342,0.0006511677324891463,0.6739882520401851
10,44,0.00107,0.99893,0.9948017822907402,0.644608916217797,0.629073888360223,0.0006696100931066481,0.6412580987339669
11,45,0.00114,0.99886,0.9937373443836891,0.613913253540759,0.5991179889144981,0.0006787171479750843,0.6100685262555443
12,46,0.00127,0.99873,0.9926044838110917,0.5846792890864372,0.5705885608709506,0.000719288330193416,0.5803552839386791
13,47,0.00144,0.99856,0.9913438761166516,0.5568374181775592,0.5434176770199528,0.0007757478522536642,0.5520173645029304
14,48,0.00162,0.99838,0.9899163409350437,0.5303213506452944,0.5175406447809074,0.0008299615450140201,0.5249737709505201
15,49,0.00182,0.99818,0.9883126764627289,0.5050679529955184,0.49289585217229276,0.0008865860983575528,0.4991650604205526
16,50,0.00204,0.99796,0.9865139473915667,0.48101709809096993,0.46942462111646927,0.0009447116294000134,0.4745300762005592
17,51,0.00227,0.99773,0.9845014589388879,0.45811152199139993,0.44707106772997074,0.0009991226088350161,0.45101146175724766
18,52,0.00249,0.99751,0.9822666406270966,0.43629668761085705,0.42578196926663875,0.0010413962472319161,0.42855968165624636
19,53,0.00275,0.99725,0.9798207966919351,0.41552065486748285,0.40550663739679876,0.0010926405504244972,0.40713577909421167
20,54,0.00305,0.99695,0.9771262895010323,0.3957339570166503,0.38619679752076075,0.0011509572835248596,0.3866820530492405
